Source	Target
BAZ1B	BAZ1A
BMPR1B	BMP4
CATSPER2	CACNA1I
CD44	ARHGEF1
CD74	CD44
CENPA	AURKB
CHD4	CHD3
CHRAC1	BAZ1A
CNOT3	CAND2
CNTROB	APTX
CREB1	CCDC6
CREB1	CHD3
CREBBP	CDC27
CREBBP	CNOT3
CREBBP	CREB1
CRNKL1	CDC5L
CTBP1	CREBBP
CTBP2	CTBP1
CTNND1	CTNNA1
DDB1	DCAF11
DDB1	DCAF5
DLG1	CTNNA1
EGR1	CREBBP
EIF2B1	CREBBP
EIF4G1	EIF3J
EIF4G1	EIF4A1
EIF4G1	EIF4A2
ELK1	CREBBP
EP300	CHD4
EP300	CREB1
EP300	CREBBP
EP300	CTBP1
EP300	CTBP2
EP300	EGR1
EP300	ELK1
EPC1	DMAP1
ESR2	EP300
FAF2	DERL2
FLNA	FBLIM1
FLNA	FILIP1
FOXO1	CREBBP
FOXO3	CREBBP
FOXO3	EP300
FURIN	FLNA
GABPA	CREBBP
GABPA	EP300
GATA2	CREBBP
GATAD2A	CHD4
GBF1	ARHGEF1
GRB10	ELK1
GRIN1	ARHGDIA
GRIN1	CD44
GRIN1	DLG1
GRIN1	FUS
GRIN2D	FUS
GRIN2D	GRIN1
H3F3B	ASF1B
H3F3B	ATRX
H3F3B	BPTF
H3F3B	CHD1
H3F3B	CREBBP
HCN2	HCN1
HMGA1	CREBBP
HSP90AA1	CRNKL1
HSPA4	BAG2
HSPA4	CD40
IKZF1	CHD3
IKZF1	CHD4
IKZF1	CTBP1
INPPL1	BCAR1
IRAK1	HSP90AA1
IRF3	CREBBP
IRF3	EP300
IRF9	CREBBP
ITGA5	ARHGAP5
ITGAM	CLEC4M
ITGAM	IRAK1
JAM3	ITGAM
KCNH2	HSPA4
KCNQ1	HSPA4
KCNQ2	KCNQ1
KDM6A	ASH2L
LECT1	FURIN
LEF1	EP300
LEF1	KPNA1
MAFG	CHD3
MAFG	CREBBP
MAP3K11	MAP2K7
MAP3K12	MAP2K7
MAP3K12	MAP3K11
MAP3K1	MAP2K7
MARK3	CPSF4
MCM4	CDC5L
MCM4	EP300
MCM8	MCM4
MED1	ESR2
MED1	GATA2
MED1	GATA3
MED24	MED1
MEF2D	ASH2L
MEF2D	EP300
MLLT1	DOT1L
MORF4L1	DMAP1
MORF4L1	EP300
MORF4L1	EPC1
MTA3	CHD4
MTNR1A	FLNA
MYB	CREBBP
MYB	EP300
MYB	FBXW7
MYB	GATA3
MYB	LEF1
NCOR1	BAZ1A
NCOR1	CHD1
NCOR1	CREBBP
NCOR1	EP300
NCOR1	ESR2
NDUFS6	KCNH2
NFATC2	CREBBP
NFATC2	EGR1
NFATC2	EP300
NFATC2	FOXP2
NFATC2	MEF2D
NKAP	DHX8
NOL4	CTBP2
NR2C2	HSP90AA1
NR2C2	JAZF1
NR2C2	NR2C1
NR3C2	ACTG1
NR3C2	HSP90AA1
NR3C2	HSPA4
NRP2	NRP1
OBSCN	ANK2
PARD6A	MARK4
PHF12	MORF4L1
PIK3CA	ARHGEF1
PIP5K1C	HDHD2
PLAUR	ITGAM
PLRG1	CDC5L
PLRG1	CRNKL1
PNPLA2	MARK3
POLR2A	CREBBP
POLR2A	CTCF
POLR2A	CTR9
POLR2A	EP300
POLR2A	FUS
POLR2A	GTF2F1
POLR2A	KLK2
POLR2A	MED1
POLR2E	POLR2A
POLR3K	POLR2E
PRKCB	GRIN1
PRKCB	GRIN2D
PRKCZ	IRAK1
PRKCZ	NFATC2
PRKCZ	PARD6A
PRPF8	CDC5L
PRPF8	CRNKL1
PRSS23	ACTG1
PRSS23	HSPA4
PSENEN	APH1A
PSENEN	E2F4
PSMA3	AURKB
PSMA3	EGR1
PSMA7	PSMA3
PSME1	CHD3
PTPN6	BTLA
PTPN6	CLEC4A
PTPN6	CTNND1
PTPN6	CUZD1
PTPN6	IL2RB
PTPN6	PILRB
PUF60	CHD3
RAD21	CTCF
RAD21	ESPL1
RAPGEF1	BCAR1
RARA	CREBBP
RARA	EP300
RARA	FOXO1
RARA	GATA2
RARA	MED1
RARA	NCOR1
RBBP4	BPTF
RBBP4	CENPA
RBBP4	CHD3
RBBP4	CHD4
RBBP4	CREBBP
RBBP4	GATAD2A
RBBP4	JARID2
RBBP4	PSENEN
RBBP6	CD81
RBM14	EP300
RBM4	RBM23
RELA	CREBBP
RELA	EGR1
RELA	EP300
RELA	ETHE1
RELA	FUS
RELA	HSPA4
RELA	IRF3
RELA	MST1R
RELA	PRKCZ
RERE	PSMA3
RHOA	ARHGAP21
RHOA	ARHGAP5
RHOA	ARHGDIA
RHOA	ARHGEF1
RHOA	ARHGEF4
RHOA	FLNA
RHOA	PLEKHG2
RHOA	PRKCZ
RIF1	CHD3
RIF1	PABPC4
RPL21	PIM2
RPS6KA2	CREB1
RPS6KA2	RPS6
RPS6KC1	PRDX3
RPS7	RPS6
RUNX1T1	HSP90AA1
RUNX1T1	KPNA1
RUNX1T1	NCOR1
RUVBL1	CENPA
RUVBL1	DMAP1
RUVBL1	INO80E
RUVBL1	LEF1
RUVBL1	MORF4L1
RUVBL1	PIH1D1
RUVBL1	POLR2E
RXRB	NR2C2
RXRB	RARA
SCN5A	DLG1
SEMG1	KLK2
SENP3	EP300
SF1	FUS
SF1	RBM4
SF3B4	CDC5L
SF3B4	PRPF8
SF3B4	RBM4
SF3B4	SF1
SH2D3C	BCAR1
SIN3A	ARID4B
SIN3A	CHD3
SIN3A	CHD4
SIN3A	CTBP1
SIN3A	CTCF
SIN3A	IKZF1
SIN3A	MORF4L1
SIN3A	MYB
SIN3A	NCOR1
SIN3A	PHF12
SIN3A	RBBP4
SIN3A	RELA
SIN3A	REST
SIN3A	RUNX1T1
SIX4	KDM6A
SKI	MYB
SKI	NCOR1
SKI	RARA
SKI	SIN3A
SMARCA4	ARID2
SMARCA4	BAZ1B
SMARCA4	CHD4
SMARCA4	CHD7
SMARCA4	CREB1
SMARCA4	CREBBP
SMARCA4	H3F3B
SMARCA4	IKZF1
SMARCA4	NCOR1
SMARCA4	POLR2A
SMARCA4	RBBP4
SMARCA4	REST
SMARCA4	SIN3A
SMARCC1	BAZ1B
SMARCC1	CHD4
SMARCC1	NCOR1
SMARCC1	SIN3A
SMARCC1	SMARCA4
SMARCC2	ARID2
SMARCC2	BAZ1B
SMARCC2	CHD7
SMARCC2	NCOR1
SMARCC2	SMARCA4
SMARCC2	SMARCC1
SNRPC	RBM4
SNRPD2	CDC5L
SNRPD2	PRPF8
SNRPD2	SNRPC
SNTB2	SCN5A
SOX6	CTBP2
SPI1	CPEB1
SPI1	CREBBP
SPI1	FUS
SPI1	GATA2
SRF	CREB1
SRF	CREBBP
SRF	ELK1
SRF	GTF2F1
SRF	HMGA1
SRF	MINPP1
SRF	RELA
SRF	SMARCA4
SRRM1	CDC5L
SRRM1	FUS
STK11	MARK4
STK11	SMARCA4
STK11	SNRK
STRAP	SNRPD2
SUMO1	AURKB
SUMO1	CHD3
SUMO1	EGR1
SUMO1	ELK1
SUMO1	IRAK1
SUMO1	MYB
SUMO1	RARA
SUMO1	SOX6
SUMO3	SOX6
SUPT6H	POLR2A
SYF2	CDC5L
SYK	IL2RB
SYK	PLCG2
SYK	PTPN6
TAF15	POLR2E
TAF15	SF1
TANK	IRF3
TARBP2	HDHD2
TARBP2	RBM14
TBL1XR1	NCOR1
TBX21	GATA3
TCF3	BAZ1B
TCF3	CREBBP
TCF3	EP300
TCF3	LYL1
TCF3	NCOR1
TCF3	RUNX1T1
TCF3	SIN3A
TCF3	SRF
TCF7L2	CREBBP
TCF7L2	CTBP1
TCF7L2	EP300
THRA	CREB1
THRA	CREBBP
THRA	FUS
THRA	MED1
THRA	MED24
THRA	NCOR1
THRA	RXRB
THRB	CTCF
THRB	FOXO1
THRB	MED1
THRB	NCOR1
THRB	RARA
THRB	RXRB
TIAM1	CD44
TIAM1	PRKCZ
TP53	AURKB
TP53	BANP
TP53	CCDC106
TP53	CHD3
TP53	CREB1
TP53	CREBBP
TP53	CTBP1
TP53	EGR1
TP53	EP300
TP53	ETHE1
TP53	FOXO1
TP53	FOXO3
TP53	GTF2H1
TP53	HSP90AA1
TP53	HSPA4
TP53	MED1
TP53	NCOR1
TP53	RPS7
TP53	SENP3
TP53	SIN3A
TP53	SMARCA4
TP53	SMARCC1
TP53	STK11
TP53	SUMO1
TP53	SUMO3
TP53	THRB
TP63	EP300
TP63	TP53
TPT1	TP53
TRAF2	BAHD1
TRAF2	BANP
TRAF2	CD40
TRAF2	DTNB
TRAF2	FLNA
TRAF2	HTRA2
TRAF2	ITPK1
TRAF2	LTBR
TRAF2	MAP3K1
TRAF2	NR2C2
TRAF2	RALBP1
TRAF2	RFX3
TRAF2	TANK
TRAF3	CD40
TRAF3	GRIN1
TRAF3	GRIN2D
TRAF3	LTBR
TRAF3	TANK
TRAF3	TRAF2
TSC2	FOXO1
TSHR	GNAO1
TTC19	CHMP4A
TTF2	CDC5L
TTF2	MYB
TUBA1A	PAFAH1B1
TUBA1A	SYK
UBA52	BMPR1B
UBA52	HERC3
UBA52	POLI
UBE3C	CAND2
UBR5	DDB1
UBR5	KPNA1
USF2	EP300
WAPAL	RAD21
WDR77	BAG2
WDR77	SF1
WDR77	SF3B4
WDR77	SNRPC
WDR77	SNRPD2
WIZ	CTBP1
ZNF366	CTBP1
ZYX	BCAR1
ZYX	LASP1
ZYX	LATS1
ZYX	NEBL
ZYX	TES
